84CCA811B0A4
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/3/31,  11:29:11,     51.84,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.959999,39.053711,1020.883118,    -
 2022/3/31,  11:29:17,     50.21,    -,              -,              -,         6,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.000000,38.150391,1020.939697,    -
 2022/3/31,  11:29:22,     50.21,    -,              -,              -,         6,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.010000,38.286133,1020.955811,    -
 2022/3/31,  11:29:27,     50.21,    -,              -,              -,        12,         4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.040001,39.430664,1020.895569,    -
 2022/3/31,  11:29:32,     50.21,    -,              -,              -,        18,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.070000,39.220703,1020.979248,    -
 2022/3/31,  11:29:37,     51.54,    -,              -,              -,        24,         4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.100000,39.300781,1020.902954,    -
 2022/3/31,  11:29:45,     50.51,    -,              -,              -,         6,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.150000,40.760742,1020.964539,    -
 2022/3/31,  11:29:50,     50.21,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.170000,39.621094,1020.942749,    -
 2022/3/31,  11:29:55,     50.65,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.209999,40.263672,1020.952820,    -
 2022/3/31,   11:30:0,     50.36,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.230000,40.679688,1020.876770,    -
 2022/3/31,   11:30:5,     51.84,    -,              -,              -,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.260000,40.066406,1020.835632,    -
 2022/3/31,  11:30:10,     51.24,    -,              -,              -,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.309999,40.797852,1020.943665,    -
 2022/3/31,  11:30:19,     50.21,    -,              -,              -,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.379999,40.669922,1020.912842,    -
 2022/3/31,  11:30:24,     50.21,    -,              -,              -,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.410000,40.145508,1020.907043,    -
 2022/3/31,  11:30:29,     50.21,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.430000,39.509766,1020.974365,    -
 2022/3/31,  11:30:34,     50.21,    -,              -,              -,        24,         8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.459999,39.535156,1020.941223,    -
 2022/3/31,  11:30:39,     50.21,    -,              -,              -,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.490000,38.708008,1020.935486,    -
 2022/3/31,  11:30:44,     50.95,    -,              -,              -,        24,         8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.530001,38.858398,1020.918701,    -
 2022/3/31,  11:30:53,     49.91,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.570000,37.626953,1020.893494,    -
 2022/3/31,  14:18:12,     52.13,    -,              -,              -,        60,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.559999,33.970703,1020.300598,    -
 2022/3/31,  14:18:17,     51.84,    -,              -,              -,        54,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.590000,34.173828,1020.314087,    -
 2022/3/31,  14:18:22,     52.43,    -,              -,              -,        36,         8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.610001,34.322266,1020.245850,    -
 2022/3/31,  14:18:27,     51.84,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.639999,34.234375,1020.286316,    -
 2022/3/31,  14:18:32,     50.51,    -,              -,              -,        12,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.660000,34.101562,1020.237183,    -
 2022/3/31,  14:18:37,     50.51,    -,              -,              -,        12,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.690001,34.227539,1020.312500,    -
 2022/3/31,  14:18:46,     50.21,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.730000,33.906250,1020.303833,    -
 2022/3/31,  14:18:51,     50.21,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.760000,33.974609,1020.263062,    -
 2022/3/31,  14:18:56,     50.21,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.780001,34.132812,1020.268066,    -
 2022/3/31,   14:19:1,     50.21,    -,              -,              -,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.809999,33.922852,1020.234985,    -
 2022/3/31,   14:19:6,     49.77,    -,              -,              -,        30,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.840000,33.857422,1020.202209,    -
 2022/3/31,  14:19:11,     49.77,    -,              -,              -,        30,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.870001,34.061523,1020.277832,    -
 2022/3/31,  14:19:20,     50.06,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.910000,33.761719,1020.233643,    -
 2022/3/31,  14:19:25,     49.47,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.940001,33.821289,1020.309204,    -
