A8032AEA9244
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2022/2/9,  14:43:30,     86.55,    -,              -,              -,      1125,       318,        30,         9,         3,         0,         5,         7,         9,         5,         7,         9, 17.469999,43.155273,1031.909180,    -
  2022/2/9,  14:43:35,     86.26,    -,              -,              -,       972,       276,         6,         0,         0,         0,         4,         4,         4,         4,         4,         4, 17.530001,42.512695,1031.919922,    -
  2022/2/9,  14:43:40,     86.11,    -,              -,              -,       945,       279,         6,         0,         0,         0,         5,         5,         5,         5,         5,         5, 17.570000,42.840820,1031.908569,    -
  2022/2/9,  14:43:45,     86.11,    -,              -,              -,       918,       282,        21,         0,         0,         0,         5,         5,         5,         5,         5,         5, 17.600000,42.341797,1031.903442,    -
  2022/2/9,  14:43:50,     86.11,    -,              -,              -,       945,       291,        33,         3,         3,         0,         4,         6,         8,         4,         6,         8, 17.629999,42.466797,1031.894897,    -
  2022/2/9,  14:43:55,     85.82,    -,              -,              -,       972,       300,        39,         6,         3,         0,         4,         7,         9,         4,         7,         9, 17.660000,42.370117,1031.900269,    -
  2022/2/9,   14:44:4,     85.82,    -,              -,              -,      1026,       297,        30,         3,         0,         0,         5,         6,         6,         5,         6,         6, 17.700001,42.775391,1031.910522,    -
  2022/2/9,   14:44:9,     85.82,    -,              -,              -,      1089,       315,        36,         6,         3,         0,         6,         7,         9,         6,         7,         9, 17.730000,42.287109,1031.914062,    -
  2022/2/9,  14:44:14,     85.82,    -,              -,              -,      1188,       336,        33,         3,         3,         0,         6,         7,         9,         6,         7,         9, 17.750000,42.679688,1031.904419,    -
  2022/2/9,  14:44:19,     86.11,    -,              -,              -,      1044,       300,        36,         3,         3,         0,         5,         6,         8,         5,         6,         8, 17.780001,42.961914,1031.903320,    -
  2022/2/9,  14:44:24,     85.52,    -,              -,              -,      1044,       309,        36,         0,         0,         0,         5,         6,         6,         5,         6,         6, 17.809999,42.472656,1031.904175,    -
