7C9EBDD8CE0C
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/3/31,  11:29:18,     83.01,    -,              -,              -,        63,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.049999,39.565430,1021.416260,    -
 2022/3/31,  11:29:23,     84.19,    -,              -,              -,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.059999,39.208008,1021.414368,    -
 2022/3/31,  11:29:28,     84.78,    -,              -,              -,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.070000,38.883789,1021.414917,    -
 2022/3/31,  11:29:33,     84.78,    -,              -,              -,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.120001,38.877930,1021.387634,    -
 2022/3/31,  11:29:38,     84.34,    -,              -,              -,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.150000,38.600586,1021.438110,    -
 2022/3/31,  11:29:43,     83.30,    -,              -,              -,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.160000,38.826172,1021.408142,    -
 2022/3/31,  11:29:51,     83.45,    -,              -,              -,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.170000,38.008789,1021.395752,    -
 2022/3/31,  11:29:56,     83.60,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.260000,38.105469,1021.421570,    -
 2022/3/31,   11:30:1,     84.63,    -,              -,              -,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.270000,37.960938,1021.363647,    -
 2022/3/31,   11:30:7,     83.75,    -,              -,              -,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.280001,37.837891,1021.370361,    -
 2022/3/31,  11:30:12,     83.75,    -,              -,              -,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.330000,38.402344,1021.409546,    -
 2022/3/31,  11:30:17,     84.04,    -,              -,              -,        48,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.360001,38.517578,1021.404541,    -
 2022/3/31,  11:30:25,     84.34,    -,              -,              -,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.420000,38.119141,1021.386353,    -
 2022/3/31,  11:30:30,     84.04,    -,              -,              -,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.450001,37.998047,1021.445129,    -
 2022/3/31,  11:30:35,     83.75,    -,              -,              -,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.490000,37.643555,1021.457214,    -
 2022/3/31,  11:30:40,     84.34,    -,              -,              -,        54,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.530001,36.951172,1021.460693,    -
 2022/3/31,  11:30:45,     84.63,    -,              -,              -,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.559999,37.379883,1021.353699,    -
 2022/3/31,  11:30:50,     83.75,    -,              -,              -,        81,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.580000,37.875977,1021.387451,    -
 2022/3/31,  14:18:16,     84.19,    -,              -,              -,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.639999,32.430664,1020.707520,    -
 2022/3/31,  14:18:21,     84.04,    -,              -,              -,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.680000,32.668945,1020.691956,    -
 2022/3/31,  14:18:26,     84.34,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.709999,32.727539,1020.761536,    -
 2022/3/31,  14:18:31,     84.19,    -,              -,              -,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.719999,32.638672,1020.704041,    -
 2022/3/31,  14:18:36,     83.75,    -,              -,              -,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.740000,32.415039,1020.654663,    -
 2022/3/31,  14:18:41,     83.75,    -,              -,              -,        72,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.770000,32.574219,1020.688538,    -
 2022/3/31,  14:18:50,     84.63,    -,              -,              -,        63,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.830000,32.455078,1020.734070,    -
 2022/3/31,  14:18:55,     83.30,    -,              -,              -,        63,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.850000,32.434570,1020.739868,    -
 2022/3/31,   14:19:0,     85.37,    -,              -,              -,        45,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.870001,32.414062,1020.699219,    -
 2022/3/31,   14:19:5,     83.60,    -,              -,              -,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.910000,32.192383,1020.766541,    -
 2022/3/31,  14:19:10,     83.45,    -,              -,              -,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.940001,32.037109,1020.725647,    -
 2022/3/31,  14:19:15,     83.75,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.969999,31.995117,1020.673889,    -
