C44F33640B49
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2022/2/9,  14:43:35,    100.00,    -,              -,              -,       939,       298,        38,         0,         0,         0,         6,         7,         7,         6,         7,         7, 17.600000,43.004883,1032.870117,    -
  2022/2/9,  14:43:40,    100.00,    -,              -,              -,       870,       278,        20,         0,         0,         0,         6,         6,         6,         6,         6,         6, 17.629999,42.719727,1032.856445,    -
  2022/2/9,  14:43:45,    100.00,    -,              -,              -,       810,       262,        24,         0,         0,         0,         5,         6,         6,         5,         6,         6, 17.650000,42.745117,1032.848999,    -
  2022/2/9,  14:43:50,    100.00,    -,              -,              -,       771,       245,        24,         0,         0,         0,         4,         5,         5,         4,         5,         5, 17.660000,42.613281,1032.849854,    -
  2022/2/9,  14:43:55,    100.00,    -,              -,              -,       711,       229,        30,         3,         0,         0,         4,         5,         6,         4,         5,         6, 17.680000,42.559570,1032.842285,    -
  2022/2/9,   14:44:0,    100.00,    -,              -,              -,       864,       280,        30,         3,         0,         0,         5,         6,         7,         5,         6,         7, 17.690001,42.737305,1032.847656,    -
  2022/2/9,   14:44:9,    100.00,    -,              -,              -,       984,       320,        20,         3,         0,         0,         7,         8,         9,         7,         8,         9, 17.719999,42.497070,1032.849731,    -
  2022/2/9,  14:44:14,    100.00,    -,              -,              -,      1149,       371,        17,         0,         0,         0,         8,         9,         9,         8,         9,         9, 17.730000,42.642578,1032.844482,    -
  2022/2/9,  14:44:19,    100.00,    -,              -,              -,      1053,       343,        10,         0,         0,         0,         8,         8,         8,         8,         8,         8, 17.750000,42.721680,1032.840210,    -
  2022/2/9,  14:44:24,    100.00,    -,              -,              -,       993,       316,        13,         0,         0,         0,         7,         7,         7,         7,         7,         7, 17.760000,42.334961,1032.840454,    -
  2022/2/9,  14:44:29,    100.00,    -,              -,              -,       870,       268,        13,         0,         0,         0,         5,         6,         6,         5,         6,         6, 17.780001,42.801758,1032.835205,    -
  2022/2/9,  14:44:34,    100.00,    -,              -,              -,       837,       257,        21,         0,         0,         0,         5,         5,         5,         5,         5,         5, 17.790001,42.161133,1032.826294,    -
  2022/2/9,  14:44:43,    100.00,    -,              -,              -,       909,       277,        25,         0,         0,         0,         5,         6,         6,         5,         6,         6, 17.809999,42.395508,1032.824951,    -
  2022/2/9,  14:44:48,    100.00,    -,              -,              -,      1041,       324,        36,         3,         0,         0,         6,         7,         7,         6,         7,         7, 17.830000,42.230469,1032.844238,    -
  2022/2/9,  14:44:53,    100.00,    -,              -,              -,      1035,       325,        31,         3,         0,         0,         7,         9,         9,         7,         9,         9, 17.850000,42.132812,1032.841675,    -
  2022/2/9,  14:44:58,    100.00,    -,              -,              -,      1374,       426,        71,        10,         3,         0,         9,        14,        16,         9,        14,        16, 17.870001,42.444336,1032.837036,    -
  2022/2/9,   14:45:3,    100.00,    -,              -,              -,      1338,       418,        71,        13,         6,         3,         9,        13,        18,         9,        13,        18, 17.879999,41.958984,1032.830444,    -
  2022/2/9,   14:45:8,    100.00,    -,              -,              -,      1362,       422,        64,        13,         6,         3,         9,        14,        18,         9,        14,        18, 17.900000,42.391602,1032.823730,    -
  2022/2/9,  14:45:16,    100.00,    -,              -,              -,       999,       309,        26,         3,         3,         3,         6,         8,        10,         6,         8,        10, 17.920000,42.128906,1032.820435,    -
  2022/2/9,  14:45:21,    100.00,    -,              -,              -,      1149,       355,        35,         0,         0,         0,         8,         9,         9,         8,         9,         9, 17.930000,42.286133,1032.822388,    -
  2022/2/9,  14:45:26,    100.00,    -,              -,              -,      1125,       347,        50,         0,         0,         0,         7,         9,         9,         7,         9,         9, 17.950001,41.932617,1032.820190,    -
  2022/2/9,  14:45:32,    100.00,    -,              -,              -,      1233,       391,        49,         0,         0,         0,         9,        10,        10,         9,        10,        10, 17.959999,42.078125,1032.809570,    -
  2022/2/9,  14:45:37,    100.00,    -,              -,              -,      1257,       396,        37,         0,         0,         0,         9,        10,        10,         9,        10,        10, 17.969999,42.233398,1032.801392,    -
  2022/2/9,  14:45:42,    100.00,    -,              -,              -,       951,       302,        15,         0,         0,         0,         6,         6,         6,         6,         6,         6, 17.980000,41.736328,1032.791870,    -
  2022/2/9,  14:45:50,    100.00,    -,              -,              -,       846,       266,        20,         0,         0,         0,         5,         5,         5,         5,         5,         5, 18.000000,41.958984,1032.788696,    -
  2022/2/9,  14:45:55,    100.00,    -,              -,              -,       798,       254,        23,         0,         0,         0,         4,         5,         5,         4,         5,         5, 18.010000,41.750000,1032.786621,    -
  2022/2/9,   14:46:0,    100.00,    -,              -,              -,       939,       297,        26,         0,         0,         0,         6,         6,         6,         6,         6,         6, 18.020000,41.739258,1032.777832,    -
  2022/2/9,   14:46:5,    100.00,    -,              -,              -,      1077,       323,        29,         0,         0,         0,         6,         7,         7,         6,         7,         7, 18.030001,42.294922,1032.769531,    -
  2022/2/9,  14:46:10,    100.00,    -,              -,              -,      1173,       351,        33,         0,         0,         0,         7,         9,         9,         7,         9,         9, 18.040001,42.229492,1032.754883,    -
  2022/2/9,  14:46:15,    100.00,    -,              -,              -,      1326,       390,        30,         0,         0,         0,         7,         9,         9,         7,         9,         9, 18.049999,42.185547,1032.753784,    -
  2022/2/9,  14:46:24,    100.00,    -,              -,              -,      1104,       344,        31,         0,         0,         0,         6,         7,         7,         6,         7,         7, 18.070000,42.186523,1032.745117,    -
  2022/2/9,  14:46:29,    100.00,    -,              -,              -,      1044,       320,        32,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.080000,42.043945,1032.737305,    -
  2022/2/9,  14:46:34,    100.00,    -,              -,              -,       831,       253,        25,         0,         0,         0,         5,         6,         6,         5,         6,         6, 18.090000,41.956055,1032.734619,    -
  2022/2/9,  14:46:39,    100.00,    -,              -,              -,      1005,       301,        43,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.100000,42.001953,1032.741821,    -
  2022/2/9,  14:46:44,    100.00,    -,              -,              -,       957,       301,        35,         0,         0,         0,         6,         7,         7,         6,         7,         7, 18.129999,41.583008,1032.742188,    -
  2022/2/9,  14:46:49,    100.00,    -,              -,              -,      1038,       328,        41,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.150000,41.673828,1032.750488,    -
  2022/2/9,  14:46:58,    100.00,    -,              -,              -,      1134,       354,        38,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.180000,41.754883,1032.742554,    -
